,Unnamed: 0,0,1,2,3,4
23,23,Beanie Feldstein,1993,"['Súper empollonas', 'Lady Bird', 'Malditos vecinos 2', 'Cómo se hace una chica']","['Reparto', 'Producción', 'Banda sonora']","['Golden Globes USA Nom', 'Satellite Awards Nom', 'Santa Barbara International Film Festival Gan', 'Screen Actors Guild Awards Nom', 'CinemaCon USA Gan']"
24,24,Steven Yeun,1983,"['Minari. Historia de mi familia', '¡Nop!', 'Okja', 'Mayhem']","['Reparto', 'Producción', 'Banda sonora']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Nom', 'BAFTA Awards Nom', 'Critics Choice Awards Gan']"
25,25,June Squibb,1929,"['Nebraska', 'Thelma', 'A propósito de Schmidt', 'El Halloween de Hubie']","['Reparto', 'Producción', 'Banda sonora']","['Academy Awards USA Nom', 'American Comedy Awards USA Nom', 'Boston Society of Film Critics Awards Gan', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
26,26,Katherine Heigl,1978,"['La cazarrecompensas', 'Lío embarazoso', 'La cruda realidad', 'Anatomía de Grey', '2005–2010 • 120 episodios']","['Reparto', 'Producción', 'Banda sonora']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Primetime Emmy Awards Gan', 'Golden Globes USA Nom', 'Satellite Awards Nom', 'MTV Movie + TV Awards Nom']"
27,27,Harry Connick Jr.,1967,"['Siempre queda el amor', 'El gigante de hierro', 'Independence Day', 'Copycat']","['Reparto', 'Música', 'Producción']","['Blockbuster Entertainment Awards Nom', 'Daytime Emmy Awards Nom', 'Primetime Emmy Awards Gan', 'Grammy Awards Nom', 'Walk of Fame Gan']"
28,28,Enuka Okuma,1976,"['Madres trabajadoras', '2021–2023 • 33 episodios', '2020', 'Traci Nash', 'Serie de TV']","['Reparto', 'Guion', 'Producción']","['Gemini Awards Nom', 'Leo Awards Nom', 'Vancouver International Film Festival Gan', 'Writers Guild of Canada Nom', 'Canadian Screen Awards CA Nom']"
29,29,Pierfrancesco Favino,1969,"['Guerra mundial Z', 'Rush', 'Ángeles y demonios', 'El traidor']","['Reparto', 'Equipos adicionales', 'Producción']","['David di Donatello Awards Nom', 'European Film Awards Nom', 'Giffoni Film Festival Gan', 'Valenciennes International Festival of Action and Adventure Films Gan', 'Italian National Syndicate of Film Journalists Nom']"
30,30,Kelly Reilly,1977,"['Pride & Prejudice (Orgullo y prejuicio)', 'Eden Lake', 'El vuelo (Flight)', 'Sherlock Holmes']","['Reparto', 'Producción']","['British Independent Film Awards Nom', 'Critics Choice Awards Nom', 'Cannes Film Festival Gan', 'César Awards France Nom', 'Hollywood Film Awards Gan']"
31,31,Jean Reno,1948,"['El profesional (Léon)', 'El gran azul', 'Ronin', 'La pantera rosa']",['Reparto'],"['César Awards France Nom', 'European Film Awards Gan', 'Giffoni Film Festival Gan', 'Screen Actors Guild Awards Nom', 'Gold Derby Awards Nom']"
32,32,Cara Theobold,1990,"['Downton Abbey', '2012–2013 • 15 episodios', 'Amy', 'Serie de TV', '7,4']",['Reparto'],"['Screen Actors Guild Awards Gan', 'Behind the Voice Actors Awards Nom', 'Contribuir a esta página ir ']"
33,33,Kris Marshall,1973,"['Love Actually', 'Un funeral de muerte', 'El mercader de Venecia', 'Las cuatro plumas']","['Reparto', 'Producción']","['British Comedy Awards Gan', 'Phoenix Film Critics Society Awards Nom', 'Marbella Film Festival Gan', 'Contribuir a esta página ir ']"
34,34,Asia Argento,1975,"['La tierra de los muertos vivientes', 'xXx', 'El corazón es mentiroso', 'La madre del mal']","['Reparto', 'Dirección', 'Guion']","['Cannes Film Festival Nom', 'David di Donatello Awards Gan', 'Fantasporto Nom', 'Hamburg Film Festival Nom', 'Giffoni Film Festival Gan']"
35,35,Romola Garai,1982,"['Expiación. Más allá de la pasión', 'Dirty Dancing 2', 'Los últimos días en Marte', 'Sufragistas']","['Reparto', 'Dirección', 'Guion']","['Australian Film Institute Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Nom', 'Broadcasting Press Guild Awards Nom', 'Sitges - Catalonian International Film Festival Nom']"
36,36,Alex Lawther,1995,"['The End of the F***ing World', '2017–2019 • 16 episodios', 'Kenny', 'Serie de TV', '8,0']","['Reparto', 'Dirección', 'Guion']","['Annie Awards Nom', 'Dinard British Film Festival Gan', 'London Critics Circle Film Awards Nom', 'London Film Festival Nom', 'Dublin International Film Festival Gan']"
37,37,Peter Van den Begin,1964,"['Tabula Rasa', '2017 • 8 episodios', '2016', '2005', '1996']","['Reparto', 'Guion']","['Joseph Plateau Awards Nom', 'Magritte Awards Belgium Nom', 'SUBTITLE European Film Festival Nom', 'Film Festival Oostende Nom']"
38,38,Michael Pas,1966,"['Blueberry Hill', 'Nymphomaniac (volumen 2)', 'Emperor', 'Miniserie de TV']","['Reparto', 'Equipos adicionales']","['Berlin International Film Festival Gan', 'Joseph Plateau Awards Nom', 'Contribuir a esta página ir ']"
