Tim Meadows,1961,"['Mean Girls', ""The Ladies' Man"", 'Popstar: Never Stop Never Stopping', 'Walk Hard: The Dewey Cox Story']","['Actor', 'Writer', 'Camera and Electrical Department']","['Primetime Emmy Awards Nom', 'Writers Guild of America USA Win', 'CinEuphoria Awards Win', 'The Streamy Awards Win', 'The Ambies Win']"
Allen Covert,1964,"[""Grandma's Boy"", '50 First Dates', 'The Wedding Singer', 'Jack and Jill']","['Actor', 'Producer', 'Writer']",['Razzie Awards Nom']
Anna Faris,1976,"['The House Bunny', 'Just Friends', 'Scary Movie', 'Scary Movie 4']","['Actress', 'Producer', 'Writer']","['Gotham Awards Nom', 'MTV Movie + TV Awards Nom', ""People's Choice Awards USA Nom"", 'Prism Awards Nom', 'Screen Actors Guild Awards Nom']"
Chris Evans,1981,"['Avengers Assemble', 'Captain America: The First Avenger', 'Captain America: Civil War', 'Avengers: Age of Ultron']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', ""Kids' Choice Awards USA Nom"", 'MTV Movie + TV Awards Nom', ""People's Choice Awards USA Nom""]"
Ari Graynor,1983,"[""Nick and Norah's Infinite Playlist"", 'The Disaster Artist', 'Whip It', ""What's Your Number?""]","['Actress', 'Producer', 'Soundtrack']","['Young Hollywood Awards Win', 'The BAM Awards Nom', 'Clarence Derwent Awards Win']"
Blythe Danner,1943,"['Meet the Parents', 'The Last Kiss', 'Paul', ""I'll See You in My Dreams""]","['Actress', 'Soundtrack']","['Academy of Science Fiction Fantasy & Horror Films USA Win', 'Blockbuster Entertainment Awards Nom', 'CableACE Awards Nom', 'Primetime Emmy Awards Win', 'Environmental Media Awards USA Win']"
Ed Begley Jr.,1949,"['A Mighty Wind', 'Pineapple Express', 'Whatever Works', 'Best in Show']","['Actor', 'Producer', 'Director']","['Primetime Emmy Awards Nom', 'Environmental Media Awards USA Nom', 'Florida Film Critics Circle Awards Win', 'Golden Globes USA Nom', 'Screen Actors Guild Awards Nom']"
Oliver Jackson-Cohen,1986,"['The Invisible Man', 'Faster', 'Going the Distance', ""What's Your Number?""]",['Actor'],"['British Independent Film Awards Nom', 'Austin Film Critics Association Nom', 'Online Film & Television Association Nom', 'International Online Cinema Awards (INOCA) Nom', 'Australian Academy of Cinema and Television Arts (AACTA) Awards Nom']"
Heather Burns,1975,"['Two Weeks Notice', 'Miss Congeniality', ""You've Got Mail"", ""What's Your Number?""]","['Actress', 'Writer', 'Soundtrack']","['Phoenix Film Festival Win', 'Gold Derby Awards Nom']"
Eliza Coupe,1981,"['Happy Endings', '2011–2020 • 58 eps', 'TigerTy-Anne', 'TV Series', '7.5']","['Actress', 'Writer', 'Producer']","['International Online Cinema Awards (INOCA) Nom', 'Gold Derby Awards Nom']"
Kate Simses,1979,"[""What's Your Number?"", 'Confessions of a Shopaholic', 'That Awkward Moment', 'Return to Sleepaway Camp', '2008']","['Actress', 'Producer', 'Additional Crew']",[]
Tika Sumpter,1980,"['Southside with You', 'Sonic the Hedgehog', 'The Old Man & The Gun', 'Ride Along']","['Actress', 'Producer', 'Director']","['Gotham Awards Nom', 'Image Awards (NAACP) Nom', 'Indiana Film Journalists Association US Nom', ""Women's Image Network Awards Nom"", 'Chicago Independent Film Critics Circle Awards Win']"
Owen Wilson,1968,"['The Royal Tenenbaums', 'Bottle Rocket', 'Wedding Crashers', 'Starsky & Hutch']","['Actor', 'Producer', 'Writer']","['Academy Awards USA Nom', 'Blockbuster Entertainment Awards Nom', 'Boston Society of Film Critics Awards Nom', 'BAFTA Awards Nom', 'Critics Choice Awards Nom']"
Jason Sudeikis,1975,"['Ted Lasso', '2020–2023 • 34 eps', '2013', '2016', '2011']","['Actor', 'Writer', 'Producer']","['American Comedy Awards USA Nom', 'Critics Choice Awards Win', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
Jenna Fischer,1974,"['The Office', '2005–2013 • 188 eps', '2012', '2007', '2006']","['Actress', 'Producer', 'Writer']","['Primetime Emmy Awards Nom', 'Monte-Carlo TV Festival Nom', 'Screen Actors Guild Awards Nom', 'St. Louis International Film Festival Win', 'Teen Choice Awards Nom']"
Christina Applegate,1971,"[""Don't Tell Mom the Babysitter's Dead"", 'Bad Moms', 'Married with Children', '1987–1997 • 259 eps', '2002']","['Actress', 'Producer', 'Soundtrack']","['Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Ft. Lauderdale International Film Festival Win', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
Richard Jenkins,1947,"['The Shape of Water', 'The Visitor', 'Step Brothers', 'Burn After Reading']","['Actor', 'Producer', 'Soundtrack']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Nom', 'Breckenridge Festival of Film Win', 'Critics Choice Awards Nom']"
Stephen Merchant,1974,"['Extras', '2006–2007 • 7 eps', '2019', '2017', '2019']","['Producer', 'Writer', 'Actor']","['Banff Television Festival Win', 'BAFTA Awards Nom', 'British Comedy Awards Win', 'Broadcasting Press Guild Awards Nom', 'Primetime Emmy Awards Nom']"
Bruce Thomas,1961,"['Son of Batman', 'Legally Blonde', 'Hall Pass', 'Army of Darkness']","['Actor', 'Additional Crew', 'Writer']","['Orlando Film Festival Nom', 'Madrid International Film Festival ES Nom']"
Tyler Hoechlin,1987,"['Road to Perdition', 'Everybody Wants Some!!', 'Supergirl', '2016–2019 • 6 eps', 'Derek Hale']","['Actor', 'Producer', 'Soundtrack']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', 'Las Vegas Film Critics Society Awards Nom', 'Teen Choice Awards Win', 'Young Artist Awards Nom']"
Ben Stiller,1965,"['Tropic Thunder', 'Zoolander', 'Zoolander 2', 'The Secret Life of Walter Mitty']","['Producer', 'Actor', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Win', 'Blockbuster Entertainment Awards Nom', 'Directors Guild of America USA Nom', 'Primetime Emmy Awards Nom']"
Eddie Murphy,1961,"['The Nutty Professor', 'Beverly Hills Cop', 'Dreamgirls', 'Coming to America']","['Actor', 'Writer', 'Producer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Nom', 'Annie Awards Nom', 'BET Awards Nom']"
Casey Affleck,1975,"['Manchester by the Sea', 'Light of My Life', 'A Ghost Story', 'The Assassination of Jesse James by the Coward Robert Ford']","['Actor', 'Director', 'Writer']","['Academy Awards USA Win', 'Berlin International Film Festival Nom', 'Boston Society of Film Critics Awards Win', 'BAFTA Awards Win', 'Critics Choice Awards Win']"
Alan Alda,1936,"['M*A*S*H', '1972–1983 • 251 eps', '1981', '1989', '2019']","['Actor', 'Additional Crew', 'Writer']","['Academy Awards USA Nom', 'Bodil Awards Win', 'BAFTA Awards Nom', 'Directors Guild of America USA Win', 'Primetime Emmy Awards Nom']"
Matthew Broderick,1962,"['The Producers', 'WarGames', ""Ferris Bueller's Day Off"", 'The Cable Guy']","['Actor', 'Director', 'Producer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'CableACE Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Grammy Awards Nom']"
Stephen McKinley Henderson,1949,"['Fences', 'Lady Bird', 'Civil War', 'Dune: Part One']",['Actor'],"['Santa Barbara International Film Festival Win', 'Screen Actors Guild Awards Nom', 'Black Reel Awards Nom', 'Indiana Film Journalists Association US Nom', 'CinEuphoria Awards Win']"
Judd Hirsch,1935,"['The Fabelmans', 'Independence Day', 'Taxi', '1978–1983 • 114 eps', '2001']","['Actor', 'Additional Crew', 'Producer']","['Academy Awards USA Nom', 'Critics Choice Awards Nom', 'Primetime Emmy Awards Win', 'Golden Globes USA Nom', 'Film Independent Spirit Awards Win']"
Téa Leoni,1966,"['The Family Man', 'Jurassic Park III', 'Deep Impact', 'Bad Boys']","['Actress', 'Producer', 'Additional Crew']","['Academy of Science Fiction Fantasy & Horror Films USA Win', 'Blockbuster Entertainment Awards Nom', ""People's Choice Awards USA Nom"", 'TV Land Awards Nom', 'Alliance of Women Film Journalists Nom']"
Michael Peña,1976,"['American Hustle', 'Crash', 'End of Watch', 'Ant-Man']","['Actor', 'Producer', 'Soundtrack']","['ALMA Awards Win', 'Gotham Awards Nom', 'Imagen Foundation Awards Win', 'Film Independent Spirit Awards Nom', 'MTV Movie + TV Awards Nom']"
Gabourey Sidibe,1983,"['Precious', 'Tower Heist', 'Seven Psychopaths', 'Antebellum']","['Actress', 'Director', 'Producer']","['Academy Awards USA Nom', 'BET Awards Nom', 'Boston Society of Film Critics Awards Win', 'BAFTA Awards Nom', 'Critics Choice Awards Nom']"
Hank Azaria,1964,"['The Simpsons', '1989–2024 • 756 eps', 'Alex', 'Agador', 'Blue Raja']","['Actor', 'Producer', 'Writer']","['American Comedy Awards USA Nom', 'Annie Awards Win', 'Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Screen Actors Guild Awards Nom']"
Neil Patrick Harris,1973,"['A Series of Unfortunate Events', '2017–2019 • 25 eps', 'Barney Stinson', 'Desi Collings', 'Carl Jenkins']","['Actor', 'Producer', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Daytime Emmy Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom']"
Jayma Mays,1979,"['Red Eye', 'Epic Movie', 'American Made', 'The Smurfs']","['Actress', 'Soundtrack']","[""Kids' Choice Awards USA Nom"", 'Screen Actors Guild Awards Nom', 'Teen Choice Awards Nom', 'Alliance of Women Film Journalists Nom', 'Gold Derby Awards Nom']"
Sofía Vergara,1972,"['Hot Pursuit', 'Modern Family', '2009–2020 • 250 eps', '2014', '2011']","['Actress', 'Producer', 'Soundtrack']","['ALMA Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Satellite Awards Nom', 'Image Awards (NAACP) Nom']"
Tim Gunn,1953,"['Project Runway', '2011–2017 • 120 eps', 'Baileywick(voice)', 'Writer', 'Tim Gunn']","['Producer', 'Actor', 'Writer']","['Primetime Emmy Awards Nom', 'PGA Awards Nom', 'Online Film & Television Association Nom', 'Behind the Voice Actors Awards Nom', 'Voice Arts Awards Nom']"
Antonio Banderas,1960,"['The Mask of Zorro', 'The Skin I Live In', 'The 13th Warrior', 'Once Upon a Time in Mexico']","['Actor', 'Producer', 'Writer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Win', 'Annie Awards Nom', 'Berlin International Film Festival Win']"
Salma Hayek,1966,"['Frida', 'Desperado', 'Wild Wild West', 'Savages']","['Actress', 'Producer', 'Director']","['Ariel Awards Mexico Nom', 'Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Nom', 'Bambi Awards Win']"
Zach Galifianakis,1969,"['The Hangover', 'Birdman or (The Unexpected Virtue of Ignorance)', 'Due Date', 'The Lego Batman Movie']","['Actor', 'Producer', 'Writer']","['Annie Awards Nom', 'Primetime Emmy Awards Nom', 'Satellite Awards Nom', 'Hollywood Film Awards Win', 'Las Vegas Film Critics Society Awards Win']"
Billy Bob Thornton,1955,"['Sling Blade', 'A Simple Plan', ""The Man Who Wasn't There"", ""Monster's Ball""]","['Actor', 'Writer', 'Director']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Berlin International Film Festival Nom', 'Blockbuster Entertainment Awards Nom', 'Boston Society of Film Critics Awards Win']"
Amy Sedaris,1961,"['Elf', 'Strangers with Candy', '1999–2000 • 31 eps', '2011', '2009']","['Actress', 'Writer', 'Producer']","['CableACE Awards Nom', 'Primetime Emmy Awards Nom', 'Writers Guild of America USA Nom', 'Online Film & Television Association Nom', 'Behind the Voice Actors Awards Nom']"
Constance Marie,1965,"['George Lopez', '2002–2007 • 120 eps', 'Regina VasquezRegina Sorrento', 'Marcela Quintanilla', 'TV Series']","['Actress', 'Soundtrack']","['ALMA Awards Win', 'Imagen Foundation Awards Nom', 'Soap Opera Digest Awards Nom', 'Young Artist Awards Nom', 'Gracie Allen Awards Win']"
Guillermo del Toro,1964,"[""Pan's Labyrinth"", 'Hellboy', 'Pinocchio', 'The Shape of Water']","['Writer', 'Producer', 'Director']","['Ariel Awards Mexico Win', 'Academy Awards USA Win', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Win', 'American Cinema Editors USA Win']"
Mike Mitchell,1970,"['Monsters vs. Aliens', 'Shrek Forever After', 'The LEGO Movie 2', 'Herd', '1999']","['Director', 'Writer', 'Actor']","['Aspen Shortsfest Win', 'Atlanta Film Festival Win', 'Sidewalk Film Festival Win', 'Hi Mom Film Festival Win', 'Slamdance Film Festival Win']"
James McAvoy,1979,"['Filth', 'Split', 'Atonement', 'The Last King of Scotland']","['Actor', 'Director', 'Producer']","['BAFTA Awards Nom', 'BAFTA Awards Scotland Win', 'British Comedy Awards Nom', 'British Independent Film Awards Win', 'Cannes Film Festival Win']"
Emily Blunt,1983,"['Edge of Tomorrow', 'The Devil Wears Prada', 'The Adjustment Bureau', 'Salmon Fishing in the Yemen']","['Actress', 'Producer', 'Additional Crew']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Win', 'BAFTA Awards Nom', 'British Independent Film Awards Nom', 'Critics Choice Awards Nom']"
Ashley Jensen,1969,"['Arthur Christmas', 'The Lobster', 'Ugly Betty', '2006–2010 • 66 eps', 'Maggie Jacobs']","['Actress', 'Art Director', 'Producer']","['Annie Awards Nom', 'BAFTA Awards Nom', 'BAFTA Awards Scotland Nom', 'British Comedy Awards Nom', 'Broadcasting Press Guild Awards Nom']"
Michael Caine,1933,"['The Dark Knight', 'Youth', 'The Prestige', 'The Cider House Rules']","['Actor', 'Producer', 'Additional Crew']","['Academy Awards USA Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Win', 'Critics Choice Awards Nom', 'Chicago Film Critics Association Awards Nom']"
Matt Lucas,1974,"['Little Britain', '2003–2006 • 23 eps', '2011', '2016', '2023']","['Actor', 'Writer', 'Producer']","['BAFTA Awards Nom', 'British Comedy Awards Nom', 'Grammy Awards Nom', ""Rose d'Or Light Entertainment Festival Win"", 'Royal Television Society UK Nom']"
Jim Cummings,1952,"['Winnie the Pooh', 'Christopher Robin', 'The Princess and the Frog', 'Aladdin']","['Actor', 'Soundtrack', 'Additional Crew']","['Annie Awards Nom', 'Daytime Emmy Awards Nom', 'Behind the Voice Actors Awards Win']"
Maggie Smith,1934,"['Gosford Park', 'A Room with a View', 'The Lady in the Van', 'The Best Exotic Marigold Hotel']","['Actress', 'Soundtrack']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Nom']"
Jason Statham,1967,"['Crank', 'Fast & Furious 7', 'Spy', 'The Meg']","['Actor', 'Producer', 'Stunts']","['Critics Choice Awards Nom', 'Razzie Awards Nom', 'Teen Choice Awards Nom', 'Alliance of Women Film Journalists Nom', 'Shorty Awards Nom']"
Ozzy Osbourne,1948,"['Little Nicky', 'Austin Powers in Goldmember', 'Gnomeo & Juliet', 'Moulin Rouge!']","['Music Artist', 'Actor', 'Music Department']","['Grammy Awards Win', 'MTV Movie + TV Awards Nom', 'Teen Choice Awards Win', 'Walk of Fame Win', 'iHeartRadio Music Awards Nom']"
Stephen Merchant,1974,"['Extras', '2006–2007 • 7 eps', '2019', '2017', '2019']","['Producer', 'Writer', 'Actor']","['Banff Television Festival Win', 'BAFTA Awards Nom', 'British Comedy Awards Win', 'Broadcasting Press Guild Awards Nom', 'Primetime Emmy Awards Nom']"
Shah Rukh Khan,1965,"['Don 2', 'My Name Is Khan', 'Devdas', 'Jab Tak Hai Jaan']","['Actor', 'Producer', 'Music Department']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Locarno International Film Festival Win', 'Zee Cine Awards Nom', 'Apsara Film Producers Guild Awards Nom']"
Priyanka Chopra Jonas,1982,"['Barfi!', 'Baywatch', 'Bajirao Mastani', 'Agneepath']","['Actress', 'Producer', 'Music Department']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Win', 'National Film Awards India Win', ""People's Choice Awards USA Win""]"
Boman Irani,1959,"['3 Idiots', 'Munna Bhai M.B.B.S.', 'Don 2', 'Dunki']","['Actor', 'Music Department', 'Director']","['Filmfare Awards Win', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'Apsara Film Producers Guild Awards Nom', ""Sansui Viewer's Choice Awards Nom""]"
Lara Dutta,1978,"['Don 2', 'No Entry', 'Bell Bottom', 'Jhoom Barabar Jhoom']","['Actress', 'Producer']","['Filmfare Awards Win', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', ""Sansui Viewer's Choice Awards Win"", 'Indian Television Academy Awards India Nom']"
Kunal Kapoor,1975,"['Rang De Basanti', 'Don 2', 'Veeram', 'The Empire', '2021 • 8 eps']","['Actor', 'Second Unit or Assistant Director', 'Producer']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'Bollywood Awards Nom', 'South Indian International Movie Awards Nom']"
Om Puri,1950,"['The Hundred-Foot Journey', 'East Is East', 'Wolf', 'Lakshya']","['Actor', 'Additional Crew', 'Music Department']","['BAFTA Awards Nom', 'Brussels Film Festival (BRFF) Win', 'Filmfare Awards Win', 'Karlovy Vary International Film Festival Win', 'Montréal World Film Festival Win']"
Nawab Shah,1972,"['Don 2', 'Lakshya', 'Khuda Haafiz', 'Dilwale']",['Actor'],"['Gold Awards Nom', 'Indian Film and Television Awards Nom']"
Alyy Khan,1968,"['Don 2', 'A Mighty Heart', 'Traitor', 'The Valley']",['Actor'],"['British Independent Film Awards Nom', 'Northeast Film Festival US Nom', 'Film Fest International Milan Nom', 'Film Fest International Berlin Nom', 'Indian Telly Awards Nom']"
Florian Lukas,1973,"['Good Bye Lenin!', 'The Grand Budapest Hotel', 'Weissensee', '2010–2018 • 24 eps', '1999']","['Actor', 'Producer', 'Soundtrack']","['Bambi Awards Win', 'Bavarian Film Awards Win', 'Bavarian TV Awards Nom', 'German Film Awards Win', 'German Television Awards Win']"
James McAvoy,1979,"['Filth', 'Split', 'Atonement', 'The Last King of Scotland']","['Actor', 'Director', 'Producer']","['BAFTA Awards Nom', 'BAFTA Awards Scotland Win', 'British Comedy Awards Nom', 'British Independent Film Awards Win', 'Cannes Film Festival Win']"
Michael Fassbender,1977,"['Shame', 'Prometheus', 'X-Men: First Class', 'Steve Jobs']","['Actor', 'Producer', 'Executive']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Nom']"
Bill Milner,1995,"['Son of Rambow', 'Is Anybody There?', 'Anthropoid', 'X-Men: First Class']","['Actor', 'Producer', 'Set Decorator']","['British Independent Film Awards Nom', 'London Critics Circle Film Awards Nom', 'Young Artist Awards Nom', 'British Independent Film Festival Win']"
Kevin Bacon,1958,"['Footloose', 'Hollow Man', 'The Woodsman', 'Mystic River']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Blockbuster Entertainment Awards Win', 'Boston Society of Film Critics Awards Win', 'Critics Choice Awards Win', 'CableACE Awards Nom']"
Rose Byrne,1979,"['Spy', 'Insidious', 'Bridesmaids', 'Bad Neighbours']","['Actress', 'Producer', 'Soundtrack']","['Film Critics Circle of Australia Awards Win', 'Australian Film Institute Nom', 'Critics Choice Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom']"
Jennifer Lawrence,1990,"['The Hunger Games', 'Silver Linings Playbook', 'American Hustle', 'X-Men: First Class']","['Actress', 'Producer', 'Writer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Win', 'BAFTA Awards Win', 'Critics Choice Awards Nom']"
Morgan Lily,2000,"['2012', 'Flipped', 'Cooties', 'X-Men: First Class']",['Actress'],['Young Artist Awards Nom']
Oliver Platt,1960,"['The Three Musketeers', 'Bicentennial Man', 'Lake Placid', 'Frost/Nixon']","['Actor', 'Producer']","['Blockbuster Entertainment Awards Nom', 'Boston Society of Film Critics Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Gotham Awards Nom']"
Henry Cavill,1983,"['Man of Steel', 'Batman v Superman: Dawn of Justice', 'Justice League', 'The Man from U.N.C.L.E.']","['Actor', 'Additional Crew', 'Producer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', ""Kids' Choice Awards USA Nom"", 'MTV Movie + TV Awards Win', 'Razzie Awards Nom']"
Mickey Rourke,1952,"['Sin City', 'The Wrestler', 'Angel Heart', 'Iron Man 2']","['Actor', 'Writer', 'Producer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Win', 'Boston Society of Film Critics Awards Win', 'BAFTA Awards Win', 'Critics Choice Awards Nom']"
Stephen Dorff,1973,"['Blade', 'Somewhere', 'Immortals', 'World Trade Center']","['Actor', 'Producer', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Blockbuster Entertainment Awards Win', 'MTV Movie + TV Awards Win', 'ShoWest Convention USA Win', 'Young Artist Awards Nom']"
Freida Pinto,1984,"['Slumdog Millionaire', 'Rise of the Planet of the Apes', 'Immortals', 'Knight of Cups']","['Actress', 'Producer', 'Soundtrack']","['BAFTA Awards Nom', 'MTV Movie + TV Awards Nom', 'Palm Springs International Film Festival Win', 'Screen Actors Guild Awards Win', 'Teen Choice Awards Nom']"
Luke Evans,1979,"['Dracula Untold', 'Beauty and the Beast', 'The Hobbit: The Desolation of Smaug', 'Fast & Furious 6']","['Actor', 'Producer', 'Soundtrack']","['Acapulco Black Film Festival Nom', 'British Independent Film Awards Nom', 'Monte-Carlo TV Festival Nom', 'MTV Movie + TV Awards Nom', 'Teen Choice Awards Win']"
John Hurt,1940,"['1984', 'Alien', 'The Elephant Man', 'Midnight Express']","['Actor', 'Soundtrack']","['Academy Awards USA Nom', 'Australian Film Institute Nom', 'Berlin International Film Festival Win', 'Bodil Awards Nom', 'Boston Society of Film Critics Awards Nom']"
Greg Bryk,1972,"[""Shoot 'Em Up"", 'Saw V', 'A History of Violence', ""Poor Boy's Game""]","['Actor', 'Producer', 'Stunts']","['Gemini Awards Nom', 'Vancouver Film Critics Circle Win', 'Hamilton Film Festival CA Nom']"
James Purefoy,1964,"['Rome', '2005–2007 • 22 eps', 'Hap Collins', 'TV Series', '7.0']","['Actor', 'Producer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Temecula Valley International Film Festival Win', 'TV Guide Awards Nom']"
