38,Fahd Larhzaoui,1978,"['El Houb', 'Sleepers', '2023–2024 • 7 episodios', 'Eric', 'Corto']",['Reparto'],"['Nederlands Film Festival Gan', 'Seattle Queer Film Festival Gan', 'Out on Film Atlanta US Gan', 'OUTshine Film Festival Gan', ""Festival International de Cinéma d'Auteur de Rabat Nom""]"
39,Lubna Azabal,1973,"['Incendios', 'Coriolanus', 'Red de mentiras', 'El caftán azul']",['Reparto'],"[""Acteurs à l'Écran Nom"", 'Amiens International Film Festival Gan', 'Berlin International Film Festival Gan', 'Genie Awards Gan', 'Jerusalem Film Festival Gan']"
40,Slimane Dazi,1960,"['Un profeta', 'Rengaine', 'Sólo los amantes sobreviven', 'Terrain vague', '2017']",['Reparto'],"['Marrakech International Film Festival Gan', 'CinEuphoria Awards Nom', 'Trophees Francophones du Cinema Gan', 'Lucania Film Festival Gan']"
41,George Blagden,1989,"['Rubikon 2056', 'Vikingos', '2013–2016 • 30 episodios', '2012', 'Lenny']","['Reparto', 'Dirección', 'Guion']","['IndieX Film Festival Nom', 'Contribuir a esta página ir ']"
42,Paolo Calabresi,1964,"['El talento de Mr. Ripley', 'Boris', '2007–2022 • 50 episodios', '2016', '2014']",['Reparto'],"['Italian National Syndicate of Film Journalists Nom', 'Golden Ciak Awards Nom', 'Contribuir a esta página ir ']"
43,Carla Signoris,1958,"['¡Déjate llevar!', 'Ex: Todos tenemos uno', 'Countdown', 'Le leggi del desiderio']",['Reparto'],"['David di Donatello Awards Nom', 'Italian National Syndicate of Film Journalists Nom', 'Golden Ciak Awards Nom', 'Contribuir a esta página ir ']"
44,Stefano Fresi,1974,"[""C'è tempo"", 'El nombre de la rosa', '2019 • 8 episodios', '2018', '2019']","['Reparto', 'Composición', 'Guion']","['David di Donatello Awards Nom', 'Italian National Syndicate of Film Journalists Gan', 'Premio Berenice Gan', 'Torino Film Festival Gan']"
45,Simon Baker,1969,"['Margin Call', 'El mentalista', '2008–2015 • 151 episodios', '2006', '2005']","['Reparto', 'Producción', 'Dirección']","['Film Critics Circle of Australia Awards Gan', 'Australian Film Institute Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Gotham Awards Nom']"
46,Morgan Davies,2001,"['El último cazador', 'Posesión infernal: El despertar', 'El árbol', 'Terra Nova', '2011 • 2 episodios']","['Reparto', 'Dirección de la segunda unidad o asistencia a dirección']","['Film Critics Circle of Australia Awards Nom', 'Australian Film Institute Nom', 'Australian Academy of Cinema and Television Arts (AACTA) Awards Nom', 'Contribuir a esta página ir ']"
47,Josh Lawson,1981,"['La pequeña muerte', 'Mortal Kombat', ""The Eleven O'Clock"", '2016', '2013']","['Reparto', 'Guion', 'Dirección']","['Academy Awards USA Nom', ""Australian Writers' Guild Nom"", 'SXSW Film Festival Gan', 'São Paulo International Film Festival Nom', 'Thessaloniki Film Festival Gan']"
48,Yael Stone,1985,"['Orange Is the New Black', '2013–2019 • 88 episodios', 'Linda', 'Clemmie', 'Serie de TV']","['Reparto', 'Banda sonora']","['Film Critics Circle of Australia Awards Nom', 'Logie Awards Nom', 'Screen Actors Guild Awards Nom', 'International Online Cinema Awards (INOCA) Nom', 'Australian Academy of Cinema and Television Arts (AACTA) Awards Nom']"
49,Remy Hii,1987,"['Marco Polo', '2014–2016 • 20 episodios', 'Van Tuong Nguyven', 'Serie de TV', '7,4']","['Reparto', 'Dirección', 'Edición']","['Logie Awards Gan', 'Online Film & Television Association Nom', 'Australian Academy of Cinema and Television Arts (AACTA) Awards Nom', 'The Equity Ensemble Awards Nom']"
50,John Waters,1948,"['Descubriendo a Nina', '2010–2014 • 55 episodios', '2005', '2017', '1978']","['Reparto', 'Música', 'Banda sonora']","['Australian Film Institute Nom', 'Logie Awards Nom', 'The Equity Ensemble Awards Gan', 'Contribuir a esta página ir ']"
51,Julia Savage,2007,"['The Clearing', '2023 • 6 episodios', '2022', 'Phoebe', 'Serie de TV']",['Reparto'],"['Art Film Festival Gan', 'St. Kilda Film Festival Nom', 'Australian Film Critics Association Awards Nom', 'Australian Academy of Cinema and Television Arts (AACTA) Awards Nom']"
52,Rebecca Massey,1969,"['Utopia', '2015–2023 • 11 episodios', 'Lucy Cannon', 'Clare', 'Película de TV']",['Reparto'],"['The Equity Ensemble Awards Nom', 'Contribuir a esta página ir ']"
53,Ranveer Singh,1985,"['Gully Boy', 'Padmavati', 'Bajirao Mastani', 'Gunday']","['Reparto', 'Música', 'Producción']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'Marrakech International Film Festival Gan', 'Apsara Film Producers Guild Awards Gan']"
54,Varun Sharma,1990,"['Fukrey', 'Chhichhore', 'Dilwale', 'Fukrey 3']",['Reparto'],"['Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Nom', 'Apsara Film Producers Guild Awards Gan', 'Indian Television Academy Awards India Gan', 'IBNLive Movie Awards Gan']"
55,Pooja Hegde,1990,"['Ala Vaikunthapurramuloo', 'Beast', 'Aravindha Sametha Veera Raghava', 'Mohenjo Daro']",['Reparto'],"['Filmfare Awards South Nom', 'South Indian International Movie Awards Gan', 'GQ Awards India Gan', 'Stardust Awards India Nom', 'Vijay Awards Nom']"
56,Jacqueline Fernandez,1985,"['Aladin', 'Kick', 'Race 3', 'Housefull 2']",['Reparto'],"['Awards of the International Indian Film Academy Nom', 'Asianet Film Awards Gan', 'Los Angeles Italia Film Festival US Gan', ""People's Choice Awards India Gan"", 'GR8! Women Achiever Awards India Gan']"
