,0,1,2,3,4,5,6,7
52,5.5,25%,Martin Campbell,Greg Berlanti,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.","Action
Adventure
Sci-Fi",1h 54m,Green Lantern
53,6.1,29%,Roger Donaldson,Todd Hickey,"After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.","Action
Crime
Drama",1h 45m,Justice
54,5.7,37%,Jonathan Liebesman,Christopher Bertolini,A squad of U.S. Marines becomes the last line of defense against a global invasion.,"Action
Adventure
Sci-Fi",1h 56m,Battle: Los Angeles
55,7.4,93%,Brad Bird,Bruce Geller,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Action
Adventure
Thriller",2h 12m,Mission: Impossible - Ghost Protocol
56,6.1,43%,Jonathan English,Jonathan English,"In thirteenth-century England, a Knights Templar and a few of the Barons men fight to defend Rochester Castle against the tyrannical King John.","Action
Drama
History",2h 1m,Ironclad
57,6.0,49%,Tarsem Singh,Charley Parlapanides,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.","Action
Drama
Fantasy",1h 50m,Immortals
58,7.7,86%,Matthew Vaughn,Ashley Miller,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","Action
Sci-Fi",2h 11m,X-Men: First Class
59,7.1,63%,Farhan Akhtar,Farhan Akhtar,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.","Action
Crime
Thriller",2h 28m,Don 2
60,6.1,51%,Bruce Robinson,Bruce Robinson,American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,"Comedy
Drama",1h 59m,The Rum Diary
61,5.9,55%,Kelly Asbury,Andy Riley,"Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?","Animation
Adventure
Comedy",1h 24m,Gnomeo & Juliet
62,6.6,86%,Chris Miller,Tom Wheeler,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.","Animation
Action
Adventure",1h 30m,Puss in Boots
63,5.4,21%,Raja Gosnell,J. David Stem,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.","Animation
Adventure
Comedy",1h 43m,The Smurfs
64,6.2,67%,Brett Ratner,Adam Cooper,"When a group of hard-working guys find out they've fallen victim to their wealthy employer's Ponzi scheme, they conspire to rob his high-rise residence.","Action
Comedy
Crime",1h 44m,Tower Heist
65,5.9,33%,Bobby Farrelly,Pete Jones,"Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.","Comedy
Romance",1h 45m,Hall Pass
66,6.0,23%,Mark Mylod,Karyn Bosnak,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,"Comedy
Romance",1h 46m,What's Your Number?
67,3.3,3%,Dennis Dugan,Ben Zook,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",Comedy,1h 31m,Jack and Jill
