0,1,2,3,4,5
31.0,Richard Jenkins,1947,"['The Shape of Water', 'The Visitor', 'Step Brothers', 'Burn After Reading']","['Actor', 'Producer', 'Soundtrack']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Nom', 'Breckenridge Festival of Film Win', 'Critics Choice Awards Nom']"
32.0,Stephen Merchant,1974,"['Extras', '2006–2007 • 7 eps', '2019', '2017', '2019']","['Producer', 'Writer', 'Actor']","['Banff Television Festival Win', 'BAFTA Awards Nom', 'British Comedy Awards Win', 'Broadcasting Press Guild Awards Nom', 'Primetime Emmy Awards Nom']"
33.0,Bruce Thomas,1961,"['Son of Batman', 'Legally Blonde', 'Hall Pass', 'Army of Darkness']","['Actor', 'Additional Crew', 'Writer']","['Orlando Film Festival Nom', 'Madrid International Film Festival ES Nom']"
34.0,Tyler Hoechlin,1987,"['Road to Perdition', 'Everybody Wants Some!!', 'Supergirl', '2016–2019 • 6 eps', 'Derek Hale']","['Actor', 'Producer', 'Soundtrack']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', 'Las Vegas Film Critics Society Awards Nom', 'Teen Choice Awards Win', 'Young Artist Awards Nom']"
35.0,Ben Stiller,1965,"['Tropic Thunder', 'Zoolander', 'Zoolander 2', 'The Secret Life of Walter Mitty']","['Producer', 'Actor', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Win', 'Blockbuster Entertainment Awards Nom', 'Directors Guild of America USA Nom', 'Primetime Emmy Awards Nom']"
36.0,Eddie Murphy,1961,"['The Nutty Professor', 'Beverly Hills Cop', 'Dreamgirls', 'Coming to America']","['Actor', 'Writer', 'Producer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Nom', 'Annie Awards Nom', 'BET Awards Nom']"
37.0,Casey Affleck,1975,"['Manchester by the Sea', 'Light of My Life', 'A Ghost Story', 'The Assassination of Jesse James by the Coward Robert Ford']","['Actor', 'Director', 'Writer']","['Academy Awards USA Win', 'Berlin International Film Festival Nom', 'Boston Society of Film Critics Awards Win', 'BAFTA Awards Win', 'Critics Choice Awards Win']"
38.0,Alan Alda,1936,"['M*A*S*H', '1972–1983 • 251 eps', '1981', '1989', '2019']","['Actor', 'Additional Crew', 'Writer']","['Academy Awards USA Nom', 'Bodil Awards Win', 'BAFTA Awards Nom', 'Directors Guild of America USA Win', 'Primetime Emmy Awards Nom']"
39.0,Matthew Broderick,1962,"['The Producers', 'WarGames', ""Ferris Bueller's Day Off"", 'The Cable Guy']","['Actor', 'Director', 'Producer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'CableACE Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom', 'Grammy Awards Nom']"
40.0,Stephen McKinley Henderson,1949,"['Fences', 'Lady Bird', 'Civil War', 'Dune: Part One']",['Actor'],"['Santa Barbara International Film Festival Win', 'Screen Actors Guild Awards Nom', 'Black Reel Awards Nom', 'Indiana Film Journalists Association US Nom', 'CinEuphoria Awards Win']"
41.0,Judd Hirsch,1935,"['The Fabelmans', 'Independence Day', 'Taxi', '1978–1983 • 114 eps', '2001']","['Actor', 'Additional Crew', 'Producer']","['Academy Awards USA Nom', 'Critics Choice Awards Nom', 'Primetime Emmy Awards Win', 'Golden Globes USA Nom', 'Film Independent Spirit Awards Win']"
