,0,1,2,3,4,5,6,7
122,"6,3",52%,Hernán Jiménez,Daniel Mackey,"Una chica de Los Ángeles, desafortunada en el amor, se enamora de un chico de la costa este en una aplicación de citas y decide sorprenderlo durante las vacaciones, solo para descubrir que la han engañado.","Comedia
Romance",1h 44min,¡Qué duro es el amor!
123,"8,5",86%,Enzo Cellucci,Enzo CellucciAsh McNair,,Corto,18min,Class
124,"6,0",88%,Dante Basco,Arianna Basco,Follows four brothers and their shenanigans.,"Comedia
Romance",1h 39min,The Fabulous Filipino Brothers
125,"7,8",25%,Rajesh Bhatia,Laxman Utekar,"Mimi es presentada por Bhanu a una pareja estadounidense como madre sustituta a cambio de dos millones de rupias. Ella decide tener el bebé, incluso cuando ellos cambian de opinión y le dice a su papá que Bhanu es el padre.","Comedia
Drama",2h 12min,Mimi
126,"4,8",43%,Jonah Feingold,Jonah Feingold,Once upon a time in New York City....they swiped right.,Comedia,1h 31min,Dating & New York
127,"6,8",78%,Ian Samuels,Lev Grossman,"Dos adolescentes que viven el mismo día repetidamente, lo que les permite crear el mapa titular.","Comedia
Fantasía
Romance",1h 38min,El mapa de las pequeñas cosas perfectas
128,"5,4",28%,Conrad Vernon,Dan Hernandez,"La familia Addams decide irse de vacaciones para intentar estar más unidos. Secuela de la película de animación de 2019, 'La Familia Addams'.","Animación
Aventura
Comedia",1h 33min,La familia Addams 2
129,"6,5",100%,Patrick Read Johnson,Patrick Read Johnson,"La épica historia de Pat Johnson, un aspirante director de cine alienado, sobre su infancia en la Illinois rural, su enamoramiento y su conversión en el primer fan de la película que lo cambió todo.","Comedia
Drama",2h 12min,5-25-77
130,"6,3",45%,John Lee Hancock,John Lee Hancock,Dos policías localizan a un asesino en serie.,"Crimen
Drama
Misterio",2h 8min,Pequeños detalles
131,"6,1",92%,Stephen Karam,Stephen Karam,"Siga la noche en la que la familia Blake se reúne para celebrar el Día de Acción de Gracias. A medida que cae la oscuridad, cosas misteriosas comienzan a surgir en la noche y las tensiones familiares alcanzan un punto de ebullición.",Drama,1h 48min,The Humans
132,"5,9",47%,Castille Landon,Castille Landon,"Una chica esquizofrénica que sufre terribles alucinaciones empieza a sospechar que su vecino ha secuestrado a un niño. La única persona que la cree es Caleb, un chico que no está siquiera segura de que exista.","Drama
Terror
Misterio",1h 49min,Fear of Rain
133,"5,3",100%,Amanda Sthers,Amanda Sthers,"Sandro ya está casado. En una fiesta conoce a Laura y es amor a primera vista, pero ella está comprometida y se casa al mes siguiente. Ambos se esfuerzan por cumplir sus compromisos, pero la atracción mutua finalmente afectará sus vidas.","Drama
Romance",1h 53min,Promises
134,"4,5",88%,Banu Akseki,Banu AksekiFreddy Malonda,,Drama,1h 39min,Sans soleil
135,"5,3",73%,Lucile Hadzihalilovic,Lucile Hadzihalilovic,"En algún lugar de Europa, a mediados del siglo XX. Albert trabaja para cuidar de Mia, una niña con dientes de hielo. Mia nunca sale de su apartamento, donde las persianas siempre están cerradas.","Drama
Terror",1h 54min,Earwig
136,"4,2",9%,Martin Owen,John Wrathall,Una versión moderna del cuento clásico de Oliver Twist.,"Acción
Drama
Suspense",1h 30min,Twist
137,"3,4",21%,Brian Petsos,Brian Petsos,"Las experiencias del escritor novato Samuel Liston, cuando es contratado por el enigmático, Floyd Deveraux, para escribir su biografía.","Comedia
Fantasía",2h 12min,Big Gold Brick
138,"6,2",63%,Taika Waititi,Taika Waititi,"Thor reclama la ayuda de Valquiria, Korg y su exnovia Jane Foster para luchar contra Gorr el Dios Carnicero, que pretende extinguir a los dioses.","Acción
Aventura
Comedia",1h 58min,Thor: Love and Thunder
