,0,1,2,3,4,5,6,7
56,5.5,,Katherine Brooks,Katherine Brooks,A woman suffering from multiple personality disorder tries to piece back together her life.,Drama,1h 29m,Waking Madison
57,3.6,,Douglas S. Younglove,Douglas S. Younglove,Horrific murders which once lived only in a young man's nightmares suddenly begin occurring in chilling reality in his hometown.,"Adventure
Crime
Drama",1h 34m,Killer by Nature
58,5.2,,Neil Jones,Stuart Brennan,"The story of Howard Winstone is a compelling one. Howard became Featherweight Champion of the World at the age of 29 in 1968. What makes Howard's story quite remarkable is that as a young man he lost the tips of three fingers in an industrial accident of his home town of Merthyr Tydfil. The accident was so severe that he was unable to make a fist with his right hand, ... Read all","Biography
Drama",2h 1m,Risen
59,5.1,,Martin Müller,Jan BubelaMartin MüllerZdenka Zvarová,Game of the reminiscence of the woman in the labyrinth of the city and time.,Drama,1h 15m,Bloudím
60,6.0,,András Vágvölgyi B.,István EörsiLászló EörsiFrigyes Gödrös,In the summer of 1959 Béla Kreuzer - a loader and gambler - is handcuffed and arrested. He is placed in detention and at first he thinks this is because his dubious activities on the racecourse but it soon turns out that the reason is his participation in the revolution in 1956. During the investigation old friends turn their backs on him as does his girlfriend. The o... Read all,Drama,1h 51m,Kolorádó Kid
61,5.8,,Robert Young,Hugh Janes,"A black comedy about an old rogue named Wally, who breaks all the rules to fulfill an old friends dying wish to be buried at sea.","Comedy
Drama",1h 28m,All at Sea
62,5.1,,Jerry Turner,Travis Michael Holder,"A closeted TV star and his recently disabled, much younger lover find the older man has a troubled, streetwise, 15-year-old homophobic son he never knew existed to add to their already strained household.",Drama,1h 23m,"Surprise, Surprise"
63,6.6,,Nicole Holofcener,Nicole Holofcener,"In New York City, a husband and wife butt heads with the granddaughters of the elderly woman who lives in the apartment the couple owns.","Comedy
Drama",1h 27m,Please Give
64,5.8,,Ryan Murphy,Ryan Murphy,"A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself"".","Biography
Drama
Romance",2h 13m,Eat Pray Love
65,3.7,,Benjamin Gourley,Benjamin Gourley,"Leon and TJ are best friends and repo men. After ten years, with a high school reunion looming, Leon wants out of the repo business. TJ has concocted a hair-brained scheme to steal all the cars they've repoed. When the plan fails, it falls to Leon to save TJ from his own plan.","Comedy
Drama",1h 37m,Repo
66,5.5,,Haim Bouzaglo,Haim Bouzaglo,Two Maroccon organized crime families suffer the tragedies of their respective lives.,Crime,1h 58m,Honor
67,4.8,,Luke Kasdan,Luke Kasdan,A troubled music manager on the edge returns from Los Angeles to North Carolina to care for his sick father.,Drama,1h 29m,Don't Fade Away
68,5.7,,Michael Mandell,Michael Mandell,A futuristic thriller about a politically incorrect television personality who is forced to change his identity after several death attempts by his government.,Drama,1h 49m,Eager to Die
69,7.0,,Gregor Jordan,Peter Woodward,Follows a black-ops interrogator and an F.B.I. agent who try to press a suspect terrorist into divulging the location of three nuclear weapons set to detonate in the U.S.,"Crime
Drama
Thriller",1h 37m,Unthinkable
70,6.7,,Antoinette Beumer,Marnie BlokKarin van Holst PellekaanHeleen van Royen,"After giving birth to her first child, a happily-married woman sees her picture-perfect life spiral out of control.",Comedy,1h 40m,De gelukkige huisvrouw
71,5.0,,Katie Torpey,Shaun O'Sullivan,"A young American woman is found dead on a beach in Ireland under mysterious circumstances. Her best friend, refusing to believe it was an accident, travels to the remote fishing village to investigate what really happened to her.","Drama
Mystery
Thriller",1h 24m,Truth About Kerry
72,3.7,,Marc Goldstein,Marc Goldstein,Synopsis Henry and Jack are two famous and talented pianists: they are rivals and try to outdo each other in the various music events where they regularly compete. They have known each other since their days at the music academy and developed a very strong friendship. They met Lana there and Jack had an affair with her then. This friendship deteriorated along the year... Read all,Drama,1h 25m,"Glenn, the Flying Robot"
73,4.4,,Jason Konopisos-Alvarez,Jason Konopisos-Alvarez,A man travels through corporate corruption and his own sin to find his soul.,"Action
Crime
Drama",1h 32m,The Waiter
74,6.4,,Kevin K. Shah,Kevin K. Shah,"A sweet career housewife has been married to the same crotchety man for 40 years and she just can't take another day of it. She starts to poison his food - just to see if he might change. When he falls gravely ill, both are awakened to the raw reality of a life or death choice.","Drama
Thriller",1h 28m,White Knuckles
75,6.8,,Paul Greengrass,Brian Helgeland,Discovering covert and faulty intelligence causes a U.S. Army officer to go rogue as he hunts for Weapons of Mass Destruction in an unstable region.,"Action
Drama
Thriller",1h 55m,Green Zone
76,7.2,,Zak Forsman,Zak Forsman,"""Heart of Now"" concerns a young woman with a profound longing for a sense of family. Devastated by her boyfriend's sudden withdrawal from their relationship, she is whisked across a contrast of urban, natural and emotional landscapes. She confronts the deeper issues at the very heart of her suffering, and finds transcendence in a brief moment at the very heart of now.",Drama,1h 30m,Heart of Now
77,6.2,,Garik Sukachyov,Ivan OkhlobystinNataliya PavlovskayaGarik Sukachyov,A young woman Sasha meets a hippie leader and finds trouble.,Drama,1h 50m,Dom Solntsa
78,7.4,,Gustavo Charif,Gustavo CharifAndrés Onna,"A great magician and escapologist, is able to escape from most difficult places, but is unable to escape from his ordinary reality. Soon he understands that is faced his hardest challenge: go out from his country.",Drama,1h 10m,La razón
79,4.8,,Carl Colpaert,Carl ColpaertDomenic Siclari,A ghost story set in the city of dreams.,Drama,1h 42m,The Land of the Astronauts
80,4.7,,James Quattrochi,Salvatore Polisi,"NYC, 1972: After a bloody mob war all summer, the 5 mob families keep the peace at Sinatra Club with Gotti's upcoming silver heist as a joint venture.","Action
Biography
Crime",1h 28m,Sinatra Club
81,4.4,,Hemant Madhukar,Hemant Madhukar,"A spate of unexpected events jolted Rahul as soon as he landed from U.S. Now, Rahul finds himself trapped in his own flat, completely cut off from the world. The only companion he has is a ghost, a ghost that will not let go of him.","Drama
Horror
Romance",1h 43m,A Flat
82,6.3,,Lasse Hallström,Jamie Linden,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,"Drama
Romance
War",1h 48m,Dear John
83,7.0,,Szabolcs Hajdu,Szabolcs Hajdu,"In order to regain custody of her daughter, whom she left in the care of her fortune-telling aunt, Mona must tell a social worker her story. The tale she spins---and the movie we watch---is a wild, surreal adventure in which people are able to project and enter each other's dreams, and our heroine is sold into slavery and lands in a swank, debauched Liverpool brothel ... Read all",Drama,1h 45m,Bibliothèque Pascal
84,5.2,,Ryan Combs,Ryan Combs,"The ""Latin Dragon"" does it again this roller coaster ride of martial arts action. Police Detective Bobby Giovanni's wife has been murdered, his children taken into care and he wants revenge.","Action
Crime
Drama",1h 40m,Double Tap
85,4.1,,Marko Mäkilaakso,Marko Mäkilaakso,A platoon of American and Finnish soldiers is driven deep into a Russian forest where its Captain discovers a terrifying secret.,"Action
Adventure
Horror",1h 26m,War of the Dead
86,3.2,,Michael Gleissner,Michael Gleissner,"Deep Gold follows Amy Sanchez, a champion free diver who, along with her sister Jess, find themselves thrown into the middle of a deadly conspiracy. After a government plane carrying a fortune in gold goes missing over Philippine waters, Amy and Jess struggle to investigate the disappearance with help from Lulu and the mysterious Benny Simpson. Soon, the girls learn t... Read all",Action,1h 26m,Deep Gold
87,2.8,,Kantz,Lucas James CulshawKantz,When a group of religious zealots destroy everything that he loves and leaves him for dead; A man embarks on a journey of revenge that will take him through all the post-apocalyptic dangers that is WASTELAND.,Action,1h 20m,Wasteland
88,7.0,,Gregory D. Widmer,Gregory D. Widmer,"Fed up with their lives among the shady creatures of Zurich's seedy underworld, a brother and a sister risk everything to win it all.",Action,1h,Züri Zoo
89,3.0,,Uwe Boll,Michael Nachoff,Rayne joins a resistence group to fight against the Nazis during World War II.,"Action
Adventure
Fantasy",18,The Blood Reich - Bloodrayne 3
90,3.9,,Takao Nakano,Alice OzawaYayoi Yanagida,A female office worker takes a diet supplement made from wasps which transforms her into a sex hungry wasp woman.,Action,1h 32m,Wasp Woman in Tokyo
