,0,1,2,3,4
36,Ryan Gosling,1980,"['Blue Valentine', 'La ciudad de las estrellas. La La Land', 'Drive', 'El diario de Noa']","['Reparto', 'Producción', 'Dirección']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Boston Society of Film Critics Awards Gan', 'BAFTA Awards Nom', 'Critics Choice Awards Nom']"
37,Carey Mulligan,1985,"['Nunca me abandones', 'Shame', 'Drive', 'Sufragistas']","['Reparto', 'Producción', 'Vestuario']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Berlin International Film Festival Gan', 'BAFTA Awards Nom', 'British Independent Film Awards Nom']"
38,Bryan Cranston,1956,"['Breaking Bad', '2008–2013 • 62 episodios', 'HalHal Wilkerson', ""Jack O'Donnell"", 'Dalton Trumbo']","['Reparto', 'Producción', 'Guion']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Annie Awards Gan', 'Breckenridge Festival of Film Gan', 'BAFTA Awards Nom']"
39,Albert Brooks,1947,"['Drive', 'Al filo de la noticia', 'El cielo... próximamente', 'Perdidos en América']","['Reparto', 'Guion', 'Música']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Comedy Awards USA Nom', 'Boston Society of Film Critics Awards Gan', 'Critics Choice Awards Nom']"
40,Oscar Isaac,1979,"['Ex_Machina', 'A propósito de Llewyn Davis', 'El año más violento', 'Star Wars: Los últimos jedi']","['Reparto', 'Producción', 'Banda sonora']","['Academy of Science Fiction Fantasy & Horror Films USA Gan', 'ALMA Awards Nom', 'Film Critics Circle of Australia Awards Nom', 'Australian Film Institute Gan', 'Critics Choice Awards Nom']"
41,Christina Hendricks,1975,"['Ginger & Rosa', 'The Neon Demon', 'Mad Men', '2007–2015 • 92 episodios', '2016']","['Reparto', 'Producción', 'Equipos adicionales']","['Primetime Emmy Awards Nom', 'Satellite Awards Nom', 'Monte-Carlo TV Festival Nom', 'Screen Actors Guild Awards Nom', 'TV Guide Awards Nom']"
42,Ron Perlman,1950,"['La mano de Dios', '2014–2017 • 20 episodios', '2008', '2004', 'Vincent']","['Reparto', 'Producción', 'Dirección']","['Sitges - Catalonian International Film Festival Gan', 'Primetime Emmy Awards Nom', 'Genie Awards Nom', 'Golden Apple Awards Gan', 'Golden Globes USA Gan']"
43,Prem Chopra,1935,"['Koi... Mil Gaya', 'Do Anjaane', 'Animal', 'Gehri Chaal']","['Reparto', 'Música']","['Filmfare Awards Gan', 'Screen Awards IN Gan', 'Filmfare Awards East Gan', 'Contribuir a esta página ir ']"
44,Govinda,1963,"['Coolie No. 1', 'Partner', 'Holiday', 'Happy Ending']","['Reparto', 'Música', 'Producción']","['Filmfare Awards Gan', 'Awards of the International Indian Film Academy Nom', 'Zee Cine Awards Gan', 'Apsara Film Producers Guild Awards Nom', ""Sansui Viewer's Choice Awards Nom""]"
45,Jaaved Jaaferi,1960,"['Salaam Namaste', 'Operación Koh-I-Noor', '3 Idiots', 'Sooryavanshi']","['Reparto', 'Música', 'Producción']","['Filmfare Awards Nom', 'Awards of the International Indian Film Academy Gan', 'Apsara Film Producers Guild Awards Nom', ""People's Choice Awards India Nom"", 'Indian Television Academy Awards India Nom']"
