,0,1,2,3,4
49,Ethan Suplee,1976,"['Remember the Titans', 'John Q', 'The Butterfly Effect', 'Chasing Amy']","['Actor', 'Writer', 'Soundtrack']","['Monte-Carlo TV Festival Nom', 'Screen Actors Guild Awards Nom', 'Seattle Film Critics Awards Nom', 'Online Film & Television Association Nom', 'Gold Derby Awards Nom']"
50,Kevin Dunn,1955,"['Warrior', 'Chain Reaction', 'Transformers', 'Dave']","['Actor', 'Producer', 'Soundtrack']",['Screen Actors Guild Awards Win']
51,Kevin Corrigan,1969,"['True Romance', 'The Departed', 'Pineapple Express', 'Unstoppable']","['Actor', 'Producer', 'Director']","['Boston Society of Film Critics Awards Win', 'Gijón International Film Festival Win', 'Gotham Awards Nom', 'Film Independent Spirit Awards Nom', 'San Diego Film Critics Society Awards Nom']"
52,Kevin Chapman,1962,"['CODA', 'City on a Hill', '2019 • 10 eps', 'Bo Lockley', 'TV Series']","['Actor', 'Producer', 'Soundtrack']",['Phoenix Film Critics Society Awards Win']
53,Lew Temple,1967,"['Unstoppable', 'Waitress', ""The Devil's Rejects"", 'Rango']","['Actor', 'Producer', 'Soundtrack']","['Monaco International Film Festival Win', 'Gulf Coast Film & Video Festival Win']"
54,T.J. Miller,1981,"['Silicon Valley', '2014–2017 • 38 eps', '2008', '2014', '2018']","['Actor', 'Writer', 'Producer']","['Scream Awards Nom', 'Critics Choice Television Awards Nom', 'Behind the Voice Actors Awards Nom']"
55,Jessy Schram,1986,"['Unstoppable', 'Once Upon a Time', '2011–2016 • 4 eps', 'Dr. Hannah Asher', 'TV Series']","['Actress', 'Producer', 'Soundtrack']",['Melbourne Web Fest Nom']
56,Jeffrey Dean Morgan,1966,"['Watchmen', 'Rampage', 'The Walking Dead', '2016–2022 • 95 eps', '2010']","['Actor', 'Producer', 'Soundtrack']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'MTV Movie + TV Awards Win', 'Fangoria Chainsaw Awards Win', 'Critics Choice Television Awards Win', 'CinEuphoria Awards Win']"
57,Zoe Saldana,1978,"['Avatar', 'Guardians of the Galaxy', 'Star Trek', 'Colombiana']","['Actress', 'Producer', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'ALMA Awards Win', 'BET Awards Nom', 'Boston Society of Film Critics Awards Win', 'Critics Choice Awards Nom']"
58,Chris Evans,1981,"['Avengers Assemble', 'Captain America: The First Avenger', 'Captain America: Civil War', 'Avengers: Age of Ultron']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Critics Choice Awards Nom', ""Kids' Choice Awards USA Nom"", 'MTV Movie + TV Awards Nom', ""People's Choice Awards USA Nom""]"
59,Idris Elba,1972,"['Beasts of No Nation', 'The Losers', 'Thor: Ragnarok', 'Mandela: Long Walk to Freedom']","['Actor', 'Producer', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Acapulco Black Film Festival Nom', 'Berlin International Film Festival Nom', 'BET Awards Nom', 'BAFTA Awards Nom']"
60,Columbus Short,1982,"['The Losers', 'Whiteout', 'Stomp the Yard', 'Death at a Funeral']","['Actor', 'Producer', 'Writer']","['Image Awards (NAACP) Nom', 'MTV Movie + TV Awards Nom', 'Teen Choice Awards Nom', 'TV Guide Awards Win', 'Young Hollywood Awards Win']"
61,Óscar Jaenada,1975,"['The Losers', 'Pirates of the Caribbean: On Stranger Tides', 'Cantinflas', 'The Shallows']","['Actor', 'Producer', 'Script and Continuity Department']","['Ariel Awards Mexico Nom', 'Berlin International Film Festival Win', 'Cinema Writers Circle Awards Spain Win', 'Fotogramas de Plata Win', 'Goya Awards Win']"
62,Jason Patric,1966,"['Narc', 'The Lost Boys', 'Speed 2: Cruise Control', 'The Losers']","['Actor', 'Producer']","['Chicago Film Critics Association Awards Nom', 'Satellite Awards Nom', 'Las Vegas Film Critics Society Awards Win', 'Online Film Critics Society Awards Nom', 'Prism Awards Nom']"
63,Peter Macdissi,1967,"['The Losers', 'Uncle Frank', 'Six Feet Under', '2003–2005 • 15 eps', '2007']","['Actor', 'Producer', 'Soundtrack']","['Primetime Emmy Awards Nom', 'San Diego Film Critics Society Awards Nom', 'Screen Actors Guild Awards Win', 'Black Reel Awards for Television Nom']"
64,Peter Francis James,1956,"['Godfather of Harlem', '2019–2023 • 8 eps', 'Mr. Cabot', 'TV Movie', '8.7']",['Actor'],['Black Reel Awards Nom']
65,Sam Worthington,1976,"['Avatar', 'Terminator Salvation', 'Clash of the Titans', 'Avatar: The Way of Water']","['Actor', 'Producer', 'Director']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Film Critics Circle of Australia Awards Nom', 'Australian Film Institute Win', 'Giffoni Film Festival Win', 'Satellite Awards Nom']"
66,Liam Neeson,1952,"['Kinsey', ""Schindler's List"", 'The Grey', 'The A-Team']","['Actor', 'Producer', 'Soundtrack']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Blockbuster Entertainment Awards Nom', 'BAFTA Awards Nom', 'British Independent Film Awards Win']"
67,Ralph Fiennes,1962,"['The Constant Gardener', 'The Grand Budapest Hotel', ""Schindler's List"", 'Harry Potter and the Deathly Hallows: Part 2']","['Actor', 'Director', 'Producer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Annie Awards Nom', 'Berlin International Film Festival Nom', 'Boston Society of Film Critics Awards Win']"
68,Jason Flemyng,1966,"['The Curious Case of Benjamin Button', 'Lock, Stock and Two Smoking Barrels', 'Deep Rising', 'The League of Extraordinary Gentlemen']","['Actor', 'Producer', 'Director']","['Critics Choice Awards Nom', 'Brussels International Festival of Fantasy Film (BIFFF) Nom', 'Screen Actors Guild Awards Nom', 'Southampton International Film Festival Nom', 'Gold Derby Awards Nom']"
69,Gemma Arterton,1986,"['Prince of Persia: The Sands of Time', 'Byzantium', 'The Girl with All the Gifts', 'Clash of the Titans']","['Actress', 'Producer', 'Soundtrack']","['BAFTA Awards Nom', 'British Independent Film Awards Nom', 'Broadcasting Press Guild Awards Nom', 'Teen Choice Awards Nom', 'Empire Awards UK Win']"
70,Mads Mikkelsen,1965,"['Hannibal', '2013–2015 • 39 eps', '2012', '2016', '2020']","['Actor', 'Additional Crew', 'Writer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Bambi Awards Win', 'Bodil Awards Win', 'BAFTA Awards Nom', 'Cannes Film Festival Win']"
71,Luke Evans,1979,"['Dracula Untold', 'Beauty and the Beast', 'The Hobbit: The Desolation of Smaug', 'Fast & Furious 6']","['Actor', 'Producer', 'Soundtrack']","['Acapulco Black Film Festival Nom', 'British Independent Film Awards Nom', 'Monte-Carlo TV Festival Nom', 'MTV Movie + TV Awards Nom', 'Teen Choice Awards Win']"
72,Izabella Miko,1981,"['Coyote Ugly', 'Deadwood', '2005 • 3 eps', '2010', 'Yulia']","['Actress', 'Producer', 'Director']",['Undine Awards Austria Nom']
73,Jeremy London,1972,"['Mallrats', 'Monsters Anonymous', '2016', 'Jonas Lytton', 'TV Series']","['Actor', 'Director', 'Producer']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Young Artist Awards Win', 'Best Shorts Competition Win', 'IndieFEST Film Awards Win', 'LA Shorts Awards Win']"
74,Sally Kirkland,1941,"['Anna', 'The Sting', 'JFK', 'Tom in America', '2014']","['Actress', 'Producer', 'Additional Crew']","['Academy Awards USA Nom', 'Golden Globes USA Nom', 'Film Independent Spirit Awards Win', 'Long Island International Film Expo Win', 'Los Angeles Film Critics Association Awards Win']"
75,Matthew Currie Holmes,1974,"['Buckout Road', 'Wrong Turn 2: Dead End', '2007', '2006', 'Stick']","['Director', 'Writer', 'Producer']","['Breckenridge Festival of Film Nom', 'Leo Awards Nom', 'Richmond International Film Festival Nom', 'Hollywood Reel Independent Film Festival Nom', 'Pasadena International Film Festival US Win']"
76,Elizabeth Sung,1954,"['Tango & Cash', 'Hero', 'Memoirs of a Geisha', 'The Water Ghost', '1998']","['Actress', 'Additional Crew', 'Producer']","['CINE Competition Win', 'Santa Clarita International Film Festival Win', 'Asians On Film Festival Win', 'Out on Film Atlanta US Win', 'Chinese American Film Festival (C.A.F.F.) Win']"
77,Art Evans,1942,"['Die Hard 2', 'Ruthless People', 'Metro', 'Fright Night']",['Actor'],[]
78,Noah Ringer,1996,"['The Last Airbender', 'Cowboys & Aliens', 'The Last Airbender', '2010', 'Self - Guest']",['Actor'],['Young Artist Awards Nom']
79,Dev Patel,1990,"['Slumdog Millionaire', 'Lion', 'Monkey Man', 'The Green Knight']","['Actor', 'Producer', 'Director']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Asia-Pacific Film Festival Nom', 'Film Critics Circle of Australia Awards Nom', 'BAFTA Awards Win']"
80,Nicola Peltz Beckham,1995,"['Lola James', 'Welcome to Chippendales', '2022 • 1 ep', '2019', '2018']","['Actress', 'Director', 'Writer']","['Razzie Awards Nom', 'Teen Choice Awards Nom', 'Young Hollywood Awards Nom', 'IMDb STARmeter Awards Win', 'CinemaCon USA Win']"
81,Jackson Rathbone,1984,"['Twilight', 'Couch Surfing USA', '2015', '2023', '2022']","['Actor', 'Producer', 'Composer']","['Method Fest Win', 'Razzie Awards Win', 'New York City Horror Film Festival Win', 'Orlando Film Festival Nom', 'Northeast Film Festival US Nom']"
82,Shaun Toub,1958,"['Tehran', '2020–2022 • 16 eps', 'Yinsen(voice)', 'Farhad', 'Rahim Khan']","['Actor', 'Producer']","['Critics Choice Awards Win', 'Gotham Awards Nom', 'Hollywood Film Awards Win', 'Screen Actors Guild Awards Win', 'Noor Iranian Film Festival Win']"
83,Aasif Mandvi,1966,"['Million Dollar Arm', 'Evil', '2019–2024 • 49 eps', '2009', 'Commander Zhao']","['Actor', 'Producer', 'Writer']","['Gotham Awards Nom', 'Phoenix Film Critics Society Awards Nom', 'Central Ohio Film Critics Association Nom', 'The Streamy Awards Nom', 'Critics Choice Super Awards Nom']"
84,Cliff Curtis,1968,"['Risen', 'Sunshine', 'The Dark Horse', 'Colombiana']","['Actor', 'Producer']","['New Zealand Film and TV Awards (I) Win', 'Seattle International Film Festival Win', 'MovieGuide Awards Nom', 'New Zealand Screen Awards Nom', 'New Zealand Film and TV Awards (II) Win']"
85,Seychelle Gabriel,1991,"['The Last Airbender', 'The Legend of Korra', '2012–2014 • 37 eps', '2008', 'Lourdes Delgado']","['Actress', 'Soundtrack']","['Imagen Foundation Awards Nom', 'Young Artist Awards Nom', 'Behind the Voice Actors Awards Nom']"
86,Katharine Houghton,1945,"[""Guess Who's Coming to Dinner"", 'The Last Airbender', 'Kinsey', 'The Night We Never Met']",['Actress'],"['Golden Globes USA Nom', 'Laurel Awards Nom']"
87,Francis Guinan,1951,"['Constantine', 'Speed 2: Cruise Control', 'The Last Airbender', 'All Good Things']",['Actor'],"['Midwest Independent Film Festival Win', 'Festival of Cinema NYC Win']"
88,Angelina Jolie,1975,"['Maleficent', 'Girl, Interrupted', 'Changeling', 'Lara Croft: Tomb Raider']","['Actress', 'Producer', 'Director']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'American Society of Cinematographers USA Win', 'Berlin International Film Festival Win', 'Blockbuster Entertainment Awards Win']"
89,Liev Schreiber,1967,"['Spotlight', 'X-Men Origins: Wolverine', 'The Manchurian Candidate', 'Everything Is Illuminated']","['Actor', 'Producer', 'Additional Crew']","['Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Acapulco Black Film Festival Nom', 'Film Critics Circle of Australia Awards Nom', 'Bratislava International Film Festival Win', 'Critics Choice Awards Nom']"
90,Chiwetel Ejiofor,1977,"['12 Years a Slave', 'Dirty Pretty Things', 'The Boy Who Harnessed the Wind', 'Serenity']","['Actor', 'Director', 'Writer']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Nom', 'Acapulco Black Film Festival Win', 'BET Awards Win', 'Boston Society of Film Critics Awards Win']"
91,Daniel Olbrychski,1945,"['Salt', 'The Deluge', 'The Tin Drum', 'The Promised Land']","['Actor', 'Second Unit or Assistant Director']","['Art Film Festival Win', 'Camerimage Win', 'Polish Film Festival Win', 'German Film Awards Nom', 'Molodist Kyiv International Film Festival Win']"
92,August Diehl,1976,"['Inglourious Basterds', 'A Hidden Life', '23', ""The King's Man""]","['Actor', 'Writer', 'Soundtrack']","['Bambi Awards Nom', 'Bavarian Film Awards Win', 'Berlin International Film Festival Win', 'German Film Awards Nom', 'Romy Gala Austria Nom']"
93,Andre Braugher,1962,"['Homicide: Life on the Street', '1993–1998 • 100 eps', '2000', '2007', '1998']","['Actor', 'Producer', 'Director']","['Blockbuster Entertainment Awards Win', 'Critics Choice Awards Nom', 'CableACE Awards Nom', 'Primetime Emmy Awards Nom', 'Golden Globes USA Nom']"
94,Olek Krupa,1947,"['Hidden Figures', 'Home Alone 3', 'Burn After Reading', 'The Italian Job']",['Actor'],['Gold Derby Awards Nom']
95,Nicolas Cage,1964,"['Face/Off', 'Leaving Las Vegas', 'The Rock', 'Next']","['Actor', 'Producer', 'Director']","['Academy Awards USA Nom', 'Academy of Science Fiction Fantasy & Horror Films USA Win', 'American Comedy Awards USA Nom', 'Annie Awards Nom', 'Blockbuster Entertainment Awards Win']"
96,Jay Baruchel,1982,"['Goon', 'This Is the End', 'How to Train Your Dragon', ""The Sorcerer's Apprentice""]","['Actor', 'Producer', 'Director']","['Annie Awards Win', 'Canadian Comedy Awards Win', 'Daytime Emmy Awards Win', 'Genie Awards Nom', 'Jutra Awards Nom']"
